Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Lactobacillales	62826	27821	431566	73251	79270	98605	126796	170690	99357	49255	264380	55360	41488	220834	32028	315170	33785	132548	388967	57029	74938	173776	166060
Clostridiales	675899	597081	1448970	858616	1151197	1324938	1526591	1429103	738646	1086516	1169891	901954	752129	1335953	813601	2489822	941485	973939	1772436	969741	942813	772278	1113538
Halanaerobiales	140	89	198	73	106	244	166	160	203	147	220	128	96	230	188	141	89	126	260	119	167	190	303
Natranaerobiales	24	8	36	3	127	32	9	11	24	25	53	25	22	14	3	6	13	15	16	25	5	28	46
Thermoanaerobacterales	3393	1168	6644	1195	3702	4044	3272	3864	2404	2033	3180	3752	2658	4019	1631	924	4096	3490	3282	4625	1228	2384	2601
Erysipelotrichales	19732	3660	29507	5119	73902	22008	12460	10982	14820	11861	9788	11594	9001	20520	5697	9258	11365	11637	14521	10423	19700	14895	24267
Limnochordales	254	166	575	238	208	464	592	518	309	433	561	346	527	408	725	256	279	338	387	388	163	383	555
Acidaminococcales	26618	2063	3318	4194	16072	2842	3008	4107	1759	3183	2580	4239	3810	11627	53465	14167	2836	2603	7478	2002	1462	8099	12581
Selenomonadales	3808	2025	6388	3576	2564	3765	4255	4091	2252	3641	4088	5482	4533	5522	2388	2103	2496	2831	3818	4212	1225	5282	4337
Veillonellales	93615	2653	8607	14883	17812	4872	10761	4747	33239	12062	8281	124340	8027	97692	32911	16954	12603	5104	14809	3385	4262	10437	20320
Tissierellales	1671	378	1174	545	1110	898	803	705	1418	536	829	942	841	1396	432	596	597	441	960	532	1224	911	835
