Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Oligoflexia	745	77	419	123	153	163	121	196	191	410	179	396	370	329	360	559	123	357	485	141	460	166	183
Zetaproteobacteria	129	127	92	97	82	131	154	129	68	121	141	71	118	174	78	61	25	61	107	66	49	215	66
Spirochaetia	18139	36180	15467	10197	8878	15935	4763	11453	27974	21061	3508	7491	408318	13869	7018	5850	16218	9050	10591	38900	4314	17877	5736
Synergistia	107355	23013	34101	33180	18708	14418	67707	33733	133860	49805	153639	32134	17943	58906	52863	126984	48628	28608	88622	396329	530179	37929	63669
Mollicutes	3628	891	3957	604	2008	2878	2343	2798	1749	2133	942	2367	1907	2482	1749	703	2023	2799	2948	2434	741	2181	2214
Thermodesulfobacteria	32	91	15	16	18	25	12	6	229	16	7	8	33	45	20	3	17	16	31	74	29	15	27
Thermotogae	982	164	709	287	519	760	404	490	515	320	326	948	536	618	432	1044	313	543	608	532	570	318	433
Methylacidiphilae	3	7	5	7	1	7	7	27	6	10	12	40	24	10	32	6	47	5	6	10	6	20	10
Opitutae	1492	542	1616	1703	613	1628	1595	1747	1418	1355	1420	1489	1316	1417	961	917	654	1220	1296	1055	672	1189	1527
Spartobacteria	41	0	30	14	8	17	3	2	4	8	12	4	7	5	0	5	7	8	2	43	3	6	3
Verrucomicrobiae	448	1205	1274	1071	3564	1299	1002	1068	1112	828	442597	1379	1473	672	628	492	438	847	2051	1053	76730	911	924
